images,label
ncd.82.jpg,New Castle Disease
salmo.246.jpg,Salmonella
salmo.317.jpg,Salmonella
salmo.53.jpg,Salmonella
salmo.1576.jpg,Salmonella
ncd.164.jpg,New Castle Disease
cocci.1990.jpg,Coccidiosis
healthy.167.jpg,Healthy
salmo.409.jpg,Salmonella
healthy.1225.jpg,Healthy
pcrhealthy.143.jpg,Healthy
cocci.1090.jpg,Coccidiosis
salmo.1204.jpg,Salmonella
cocci.1178.jpg,Coccidiosis
cocci.638.jpg,Coccidiosis
salmo.234.jpg,Salmonella
pcrcocci.138.jpg,Coccidiosis
healthy.2028.jpg,Healthy
pcrsalmo.8.jpg,Salmonella
cocci.1741.jpg,Coccidiosis
salmo.1927.jpg,Salmonella
cocci.1404.jpg,Coccidiosis
pcrcocci.177.jpg,Coccidiosis
healthy.906.jpg,Healthy
salmo.1341.jpg,Salmonella
salmo.1178.jpg,Salmonella
salmo.984.jpg,Salmonella
salmo.511.jpg,Salmonella
salmo.453.jpg,Salmonella
pcrcocci.340.jpg,Coccidiosis
salmo.2090.jpg,Salmonella
healthy.1766.jpg,Healthy
salmo.2193.jpg,Salmonella
healthy.1121.jpg,Healthy
healthy.107.jpg,Healthy
pcrhealthy.345.jpg,Healthy
ncd.132.jpg,New Castle Disease
pcrncd.108.jpg,New Castle Disease
pcrhealthy.41.jpg,Healthy
cocci.736.jpg,Coccidiosis
healthy.1218.jpg,Healthy
healthy.1397.jpg,Healthy
healthy.1690.jpg,Healthy
healthy.2016.jpg,Healthy
cocci.264.jpg,Coccidiosis
salmo.1226.jpg,Salmonella
healthy.422.jpg,Healthy
salmo.1427.jpg,Salmonella
healthy.1521.jpg,Healthy
cocci.1694.jpg,Coccidiosis
salmo.578.jpg,Salmonella
healthy.1804.jpg,Healthy
healthy.1660.jpg,Healthy
salmo.321.jpg,Salmonella
cocci.677.jpg,Coccidiosis
healthy.1405.jpg,Healthy
salmo.1381.jpg,Salmonella
pcrhealthy.165.jpg,Healthy
cocci.1283.jpg,Coccidiosis
cocci.1956.jpg,Coccidiosis
cocci.244.jpg,Coccidiosis
salmo.1599.jpg,Salmonella
cocci.1391.jpg,Coccidiosis
healthy.684.jpg,Healthy
healthy.1442.jpg,Healthy
cocci.800.jpg,Coccidiosis
ncd.118.jpg,New Castle Disease
salmo.1921.jpg,Salmonella
pcrhealthy.172.jpg,Healthy
ncd.34.jpg,New Castle Disease
cocci.1809.jpg,Coccidiosis
cocci.1609.jpg,Coccidiosis
healthy.2017.jpg,Healthy
healthy.1196.jpg,Healthy
salmo.448.jpg,Salmonella
ncd.232.jpg,New Castle Disease
salmo.631.jpg,Salmonella
pcrhealthy.27.jpg,Healthy
salmo.100.jpg,Salmonella
healthy.563.jpg,Healthy
healthy.624.jpg,Healthy
salmo.46.jpg,Salmonella
ncd.97.jpg,New Castle Disease
cocci.936.jpg,Coccidiosis
healthy.822.jpg,Healthy
healthy.192.jpg,Healthy
cocci.561.jpg,Coccidiosis
cocci.1965.jpg,Coccidiosis
healthy.1545.jpg,Healthy
pcrncd.53.jpg,New Castle Disease
salmo.178.jpg,Salmonella
cocci.741.jpg,Coccidiosis
healthy.74.jpg,Healthy
cocci.1545.jpg,Coccidiosis
ncd.150.jpg,New Castle Disease
healthy.425.jpg,Healthy
cocci.1554.jpg,Coccidiosis
healthy.1056.jpg,Healthy
pcrncd.57.jpg,New Castle Disease
salmo.37.jpg,Salmonella
healthy.433.jpg,Healthy
healthy.442.jpg,Healthy
pcrhealthy.83.jpg,Healthy
cocci.283.jpg,Coccidiosis
cocci.247.jpg,Coccidiosis
cocci.11.jpg,Coccidiosis
salmo.498.jpg,Salmonella
cocci.1998.jpg,Coccidiosis
healthy.1607.jpg,Healthy
healthy.1518.jpg,Healthy
cocci.1329.jpg,Coccidiosis
pcrhealthy.316.jpg,Healthy
salmo.522.jpg,Salmonella
salmo.284.jpg,Salmonella
cocci.2095.jpg,Coccidiosis
cocci.1019.jpg,Coccidiosis
salmo.1685.jpg,Salmonella
healthy.132.jpg,Healthy
cocci.1913.jpg,Coccidiosis
cocci.1431.jpg,Coccidiosis
pcrncd.124.jpg,New Castle Disease
cocci.1786.jpg,Coccidiosis
salmo.1390.jpg,Salmonella
healthy.1423.jpg,Healthy
healthy.337.jpg,Healthy
cocci.1686.jpg,Coccidiosis
healthy.146.jpg,Healthy
healthy.1824.jpg,Healthy
salmo.683.jpg,Salmonella
healthy.1803.jpg,Healthy
pcrsalmo.47.jpg,Salmonella
cocci.1526.jpg,Coccidiosis
salmo.880.jpg,Salmonella
ncd.81.jpg,New Castle Disease
salmo.1746.jpg,Salmonella
healthy.879.jpg,Healthy
healthy.1215.jpg,Healthy
pcrcocci.218.jpg,Coccidiosis
cocci.656.jpg,Coccidiosis
healthy.595.jpg,Healthy
salmo.1727.jpg,Salmonella
healthy.1806.jpg,Healthy
salmo.1776.jpg,Salmonella
ncd.192.jpg,New Castle Disease
salmo.1460.jpg,Salmonella
healthy.1489.jpg,Healthy
healthy.729.jpg,Healthy
salmo.806.jpg,Salmonella
cocci.1216.jpg,Coccidiosis
salmo.1372.jpg,Salmonella
cocci.1368.jpg,Coccidiosis
cocci.1387.jpg,Coccidiosis
healthy.340.jpg,Healthy
pcrncd.43.jpg,New Castle Disease
cocci.1441.jpg,Coccidiosis
healthy.780.jpg,Healthy
cocci.610.jpg,Coccidiosis
pcrsalmo.264.jpg,Salmonella
healthy.997.jpg,Healthy
cocci.750.jpg,Coccidiosis
salmo.39.jpg,Salmonella
pcrsalmo.275.jpg,Salmonella
cocci.330.jpg,Coccidiosis
healthy.1191.jpg,Healthy
cocci.947.jpg,Coccidiosis
salmo.1400.jpg,Salmonella
healthy.703.jpg,Healthy
healthy.664.jpg,Healthy
salmo.106.jpg,Salmonella
healthy.1263.jpg,Healthy
salmo.953.jpg,Salmonella
salmo.968.jpg,Salmonella
cocci.2084.jpg,Coccidiosis
salmo.1100.jpg,Salmonella
cocci.1303.jpg,Coccidiosis
salmo.816.jpg,Salmonella
healthy.249.jpg,Healthy
healthy.1081.jpg,Healthy
healthy.1036.jpg,Healthy
cocci.353.jpg,Coccidiosis
salmo.180.jpg,Salmonella
salmo.1097.jpg,Salmonella
cocci.1951.jpg,Coccidiosis
salmo.507.jpg,Salmonella
cocci.1598.jpg,Coccidiosis
salmo.923.jpg,Salmonella
pcrhealthy.50.jpg,Healthy
pcrhealthy.52.jpg,Healthy
pcrcocci.23.jpg,Coccidiosis
salmo.418.jpg,Salmonella
salmo.9.jpg,Salmonella
salmo.1667.jpg,Salmonella
healthy.1055.jpg,Healthy
salmo.2269.jpg,Salmonella
salmo.945.jpg,Salmonella
salmo.903.jpg,Salmonella
cocci.1223.jpg,Coccidiosis
healthy.938.jpg,Healthy
salmo.1244.jpg,Salmonella
healthy.1153.jpg,Healthy
cocci.363.jpg,Coccidiosis
salmo.1844.jpg,Salmonella
healthy.1449.jpg,Healthy
healthy.725.jpg,Healthy
salmo.673.jpg,Salmonella
salmo.988.jpg,Salmonella
ncd.305.jpg,New Castle Disease
pcrhealthy.5.jpg,Healthy
pcrsalmo.342.jpg,Salmonella
healthy.1882.jpg,Healthy
cocci.202.jpg,Coccidiosis
salmo.1079.jpg,Salmonella
salmo.1465.jpg,Salmonella
healthy.632.jpg,Healthy
pcrsalmo.21.jpg,Salmonella
cocci.904.jpg,Coccidiosis
cocci.939.jpg,Coccidiosis
salmo.1677.jpg,Salmonella
salmo.43.jpg,Salmonella
pcrhealthy.232.jpg,Healthy
cocci.233.jpg,Coccidiosis
cocci.1402.jpg,Coccidiosis
salmo.1225.jpg,Salmonella
pcrhealthy.192.jpg,Healthy
cocci.351.jpg,Coccidiosis
pcrhealthy.148.jpg,Healthy
pcrsalmo.216.jpg,Salmonella
pcrncd.80.jpg,New Castle Disease
cocci.301.jpg,Coccidiosis
healthy.803.jpg,Healthy
cocci.1776.jpg,Coccidiosis
healthy.202.jpg,Healthy
healthy.503.jpg,Healthy
healthy.1110.jpg,Healthy
pcrcocci.102.jpg,Coccidiosis
salmo.1113.jpg,Salmonella
healthy.710.jpg,Healthy
healthy.1952.jpg,Healthy
cocci.819.jpg,Coccidiosis
pcrcocci.44.jpg,Coccidiosis
cocci.2040.jpg,Coccidiosis
healthy.1261.jpg,Healthy
pcrhealthy.320.jpg,Healthy
salmo.62.jpg,Salmonella
healthy.687.jpg,Healthy
pcrhealthy.332.jpg,Healthy
salmo.1784.jpg,Salmonella
healthy.119.jpg,Healthy
cocci.671.jpg,Coccidiosis
cocci.500.jpg,Coccidiosis
salmo.42.jpg,Salmonella
pcrhealthy.274.jpg,Healthy
healthy.981.jpg,Healthy
cocci.1440.jpg,Coccidiosis
pcrhealthy.60.jpg,Healthy
salmo.946.jpg,Salmonella
cocci.1153.jpg,Coccidiosis
salmo.1949.jpg,Salmonella
salmo.2239.jpg,Salmonella
cocci.33.jpg,Coccidiosis
salmo.1154.jpg,Salmonella
pcrcocci.10.jpg,Coccidiosis
healthy.287.jpg,Healthy
pcrncd.92.jpg,New Castle Disease
salmo.1591.jpg,Salmonella
cocci.491.jpg,Coccidiosis
pcrcocci.24.jpg,Coccidiosis
healthy.592.jpg,Healthy
pcrhealthy.203.jpg,Healthy
healthy.1805.jpg,Healthy
healthy.856.jpg,Healthy
pcrncd.28.jpg,New Castle Disease
pcrsalmo.295.jpg,Salmonella
pcrcocci.352.jpg,Coccidiosis
